Stimulus,N,Raw_Mean,BLUP,condition
Aabatte,36,6.69630528183814,6.68824316975044,pseudo_only
Aabbare,40,6.51788048716391,6.50671403083158,pseudo_only
Aabbenge,42,6.59845973823523,6.58740669724936,pseudo_only
Aabende,38,6.65456801040177,6.63393634178512,pseudo_only
Aabiler,40,6.53951187244658,6.54426454769612,pseudo_only
Aabités,39,6.46666531461367,6.52514190253905,pseudo_only
Aabogie,39,6.58086470978348,6.55825486120892,pseudo_only
Aabscher,39,6.51444127127098,6.57455707781392,pseudo_only
Aabscherau,38,6.691021213289,6.69311206445473,pseudo_only
Aabtente,36,6.54456604601549,6.57488307655735,pseudo_only
Aabtreter,39,6.57437368095154,6.6385770113752,pseudo_only
Aachboppe,35,6.64256450842702,6.64775593186496,pseudo_only
Aachborten,38,6.70301623714605,6.70716794334478,pseudo_only
Aachdimmer,42,6.75019983137086,6.71337650211972,pseudo_only
Aache,19,6.79628904998704,6.78854938999369,pseudo_only
Aacher,30,6.82795420467705,6.84719536064184,pseudo_only
Aachfeigel,39,6.78263866710596,6.76323030279852,pseudo_only
Aachfeßen,39,6.69675621554221,6.71154825535328,pseudo_only
Aachlissen,44,6.6826603102248,6.70924169141412,pseudo_only
Aachmalhen,39,6.61188346005661,6.67051486894897,pseudo_only
Aachpemmer,41,6.68598927665744,6.64018579585816,pseudo_only
Aachspänren,35,6.60071875571667,6.68835715353706,pseudo_only
Aacht,36,6.89764228713917,6.91723666828649,pseudo_only
Aachverdind,38,6.61429176702843,6.60575494628348,pseudo_only
Aacke,35,6.69659541891361,6.67357890696567,pseudo_only
Aackeft,37,6.59575406729513,6.65046591159812,pseudo_only
Aackem,41,6.63265923898849,6.61852017359062,pseudo_only
Aacken,34,6.73516168887902,6.7882961967658,pseudo_only
Aadallguß,36,6.59140846606186,6.60848077891932,pseudo_only
Aadider,37,6.55370029853713,6.59422738292073,pseudo_only
Aadler,31,6.73074899772621,6.7854500792827,pseudo_only
Aadol,41,6.51847019101379,6.54743262080708,pseudo_only
Aads,40,6.55234817683751,6.54578964913388,pseudo_only
Aaenga,38,6.51234523831652,6.54051693274022,pseudo_only
Aafbieer,40,6.49633701438456,6.55061732633285,pseudo_only
Aafflichkeit,38,6.65076539317187,6.6867459595244,pseudo_only
Aaffstraße,38,6.64038317979518,6.69431463063562,pseudo_only
Aaffweise,36,6.63887635363731,6.58658972763811,pseudo_only
Aafo,40,6.49507076581168,6.48544175878002,pseudo_only
Aagputzstest,41,6.72803525439315,6.65006812434115,pseudo_only
Aagägen,41,6.62964537069018,6.63235922196224,pseudo_only
Aahlschema,37,6.7096125871532,6.75900652866933,pseudo_only
Aahlschleiben,34,6.75910518336857,6.78475087825595,pseudo_only
Aaister,39,6.5656335137242,6.61456243276991,pseudo_only
Aakafer,38,6.55945960275334,6.58641970520677,pseudo_only
Aaldhäuter,40,6.64509221540074,6.68815960634278,pseudo_only
Aaleirung,35,6.61170804510876,6.64515787067133,pseudo_only
Aaleller,34,6.82248103020552,6.81485126954039,pseudo_only
Aalle,28,6.76413458934073,6.7202204546206,pseudo_only
Aalleßen,37,6.55665483673163,6.57710592491394,pseudo_only
Aalmeuscher,40,6.73934066855419,6.73639532834449,pseudo_only
Aalter,36,6.76581539433981,6.79864190472801,pseudo_only
Aampibt,38,6.60780354916104,6.58533817795538,pseudo_only
Aanbipfer,42,6.57137934803805,6.59803439398152,pseudo_only
Aanenhart,37,6.58761198754988,6.57782590464012,pseudo_only
Aanheit,39,6.56213335736359,6.58592606511433,pseudo_only
Aanheschan,40,6.51995168028147,6.55491356698447,pseudo_only
Aapende,39,6.53783821912488,6.55480093378993,pseudo_only
Aapflanne,37,6.6104843715287,6.641836501614,pseudo_only
Aapflele,40,6.58030611202181,6.57587989068438,pseudo_only
Aaport,37,6.51698719618466,6.57321888522544,pseudo_only
Aappelbriel,41,6.711765018965,6.73624243317711,pseudo_only
Aappelbuchs,41,6.74804013208505,6.74001143158278,pseudo_only
Aarbon,39,6.59541569712879,6.60686251848119,pseudo_only
Aarfschädel,36,6.70143836984971,6.65970264848903,pseudo_only
Aarkausgaht,39,6.69397927113193,6.69808284515036,pseudo_only
Aarnerschlag,39,6.7011490116092,6.69929202371626,pseudo_only
Aarnerstag,41,6.63138141537547,6.67165813781497,pseudo_only
Aarriebung,38,6.6023699324926,6.64071663750103,pseudo_only
Aarsche,37,6.77997803610301,6.77658648060611,pseudo_only
Aarte,37,6.77010480273946,6.75476022147992,pseudo_only
Aaskanstoß,38,6.68019589750278,6.67291755591324,pseudo_only
Aaskerin,37,6.59140381909784,6.62059370619792,pseudo_only
Aasper,38,6.6205296371783,6.67157132961021,pseudo_only
Aastar,37,6.64448493716324,6.66605658825675,pseudo_only
Aatelbruchs,38,6.76805518342047,6.72266366199098,pseudo_only
Aatenchrim,38,6.64454355407921,6.6623818192539,pseudo_only
