Stimulus,N,Raw_Mean,BLUP,condition
Aasgeier,23,6.91216093376997,6.79548254240515,words_only
Abakus,10,6.81326095871184,6.80552281722437,words_only
Abarbeitung,28,6.94763551879431,6.84635033198446,words_only
Abart,12,6.81481241779587,6.70911371011465,words_only
Abbau,43,6.46704171387372,6.48265487817064,words_only
Abbild,40,6.46458186183714,6.52913385745368,words_only
Abbildung,36,6.43613611174998,6.49577143611338,words_only
Abbitte,30,6.78779310517969,6.74807798263822,words_only
Abbruch,39,6.46202293987583,6.46596276834004,words_only
Abbruchhaus,31,6.72070144971591,6.74565406867473,words_only
Abbuchung,40,6.52930668010741,6.57302843255151,words_only
Abdankung,38,6.6630550361041,6.66856205653457,words_only
Abdecker,31,6.69982353900107,6.71349913211767,words_only
Abdeckerei,30,6.87262717240552,6.86180301530247,words_only
Abdeckung,38,6.52930152926751,6.49907888532094,words_only
Abdichtung,39,6.58265840052936,6.59935656748475,words_only
Abdrift,18,6.84195962107913,6.80882040774276,words_only
Abdruck,44,6.50471009074183,6.50734868203012,words_only
Abend,39,6.34385333434644,6.39830738865894,words_only
Abendandacht,22,6.91213660261221,6.88356639047019,words_only
Abendanzug,37,6.83046239170009,6.83361915849281,words_only
Abendappell,27,7.05215129280689,6.97046903891007,words_only
Abendausgabe,34,6.74252451644616,6.75631845146639,words_only
Abendblatt,41,6.58309171761516,6.6199650007364,words_only
Abendbrot,38,6.48041851021879,6.53960502086621,words_only
Abendbrotzeit,37,6.64322731800451,6.64835658204783,words_only
Abenddämmerung,34,6.70078558669487,6.70267378402618,words_only
Abendgarderobe,36,6.92731354564911,6.90309848884496,words_only
Abendgebet,33,6.86832282073225,6.87259001243245,words_only
Abendgesellschaft,37,6.83608136383737,6.83908811112067,words_only
Abendgottesdienst,38,6.87051887879362,6.8796751025047,words_only
Abendkleid,38,6.57787986830749,6.55569927301272,words_only
Abendkleidung,40,6.55420646041078,6.57649323285496,words_only
Abendkurs,37,6.57525648699054,6.53586331102731,words_only
Abendlicht,38,6.51392487904415,6.4938575418535,words_only
Abendluft,37,6.55064476013596,6.55443097657264,words_only
Abendländer,33,6.70110923689966,6.69966854175577,words_only
Abendmahl,41,6.58530920280199,6.57776602041223,words_only
Abendprogramm,41,6.53978295875949,6.52585209180033,words_only
Abendrot,41,6.50358233724448,6.48701061873405,words_only
Abendschule,42,6.55278573916643,6.58101788528073,words_only
Abendsendung,36,6.86001149965917,6.86228092201622,words_only
Abendsonne,36,6.56850135121235,6.62366534337811,words_only
Abendspaziergang,34,6.60054322035835,6.60942398446198,words_only
Abendstern,37,6.59701546266103,6.64848843430565,words_only
Abendstudium,37,6.77304308231499,6.73527197811018,words_only
Abendstunde,42,6.63369036534989,6.61515525260491,words_only
Abendunterhaltung,39,6.88779399058355,6.88345542407393,words_only
Abendunterricht,35,6.70081917989956,6.69303387970729,words_only
Abendvorstellung,42,6.70084579084785,6.70149222698998,words_only
Abendzeit,38,6.47488043979898,6.46497815099973,words_only
Abendzeitung,36,6.70762026780102,6.65864422945392,words_only
