block,n,n_participants,accuracy,rt_trimmed_mean
1,309875,2479,0.9431415893505446,1006.1928932488862
2,309875,2479,0.940224283985478,915.3452692896218
3,309875,2479,0.9382686567164179,885.1712945996178
4,309875,2479,0.9365227914481646,870.3339613014639
5,309875,2479,0.9362743041549012,863.4137806968195
6,309875,2479,0.9354739814441307,854.9862440054527
7,309875,2479,0.9331085114965711,850.7577780395544
8,309875,2479,0.9329536103267446,843.0784493364396
9,309875,2479,0.9305268253327955,835.4704805626867
10,309875,2479,0.9319725695845099,829.6256131057485
